Symptoms,Medicine
depressed ,Elaps corallinus
depressed  fear rain ,Elaps corallinus
depressed  fear rain  fear apoplexy ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking  stitch apex right lung ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking  stitch apex right lung  fainting caused stooping ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking  stitch apex right lung  fainting caused stooping  oppression going upstairs ,Elaps corallinus
depressed  fear rain  fear apoplexy  violent headache  pain ear  vertigo tendency fall forward  weight pain forehead  fullness head  aversion light  veil eye  burning lid  bloated around eye  large red fiery spot eye  buzzing  illusion hearing  nightly deafness  crackling ear  intolerable itching ear  yellowish green discharge  mucous membrane wrinkled  pain nose ear swallowing  nasal bleeding  pain root nose  eruption nose  thick  dry  extremely foul breath  spasmodic contraction esophagus  coldness chest drinking  stitch apex right lung  fainting caused stooping  oppression going upstairs  peeling skin palm finger ,Elaps corallinus
